[2026-09-05 00:18:31,202][modules.utils_train][WARNING] - Skipping invalid manifest entry 2907: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:18:31,609][modules.utils_train][WARNING] - Skipping invalid manifest entry 2915: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:18:32,204][modules.utils_train][WARNING] - Skipping invalid manifest entry 2933: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:18:34,915][modules.utils_train][WARNING] - Skipping invalid manifest entry 3004: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:18:35,224][modules.utils_train][WARNING] - Skipping invalid manifest entry 3012: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:18:36,416][modules.utils_train][WARNING] - Skipping invalid manifest entry 3044: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:18:36,992][modules.utils_train][WARNING] - Skipping invalid manifest entry 3056: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:18:37,162][modules.utils_train][WARNING] - Skipping invalid manifest entry 3060: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:18:37,666][modules.utils_train][WARNING] - Skipping invalid manifest entry 3075: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:18:37,703][modules.utils_train][WARNING] - Skipping invalid manifest entry 3076: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:18:41,053][modules.utils_train][WARNING] - Skipping invalid manifest entry 3157: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:18:41,532][modules.utils_train][WARNING] - Skipping invalid manifest entry 3168: Section ExpertSingle has no window free of events closer than the 20 ms grid
[2026-09-05 00:18:43,223][modules.utils_train][WARNING] - Skipping invalid manifest entry 3200: Section ExpertSingle has no window free of events closer than the 20 ms grid
